Thumbnail,Track Name,Author Time,Top Time,10k Time,10k Time % Difference,Top Time % Difference,10k Time Difference,Top Time Difference,Completed
https://core.trackmania.nadeo.live/maps/3dd9a203-0237-4aa6-8482-cf867af838ad/thumbnail.jpg,Fall 2021 - 12,38.269,34.457,37.286,2.57,9.96,0.982999999999997,3.8119999999999976,False
https://core.trackmania.nadeo.live/maps/97f3f017-1068-4d4a-9e81-7acda708b66c/thumbnail.jpg,Fall 2021 - 13,35.247,32.241,34.406,2.39,8.53,0.8410000000000011,3.0060000000000002,False
https://core.trackmania.nadeo.live/maps/2df8b209-40d3-4cb9-94ca-5cf6b520fade/thumbnail.jpg,Fall 2021 - 14,35.258,33.631,34.806,1.28,4.61,0.4520000000000053,1.6270000000000024,False
https://core.trackmania.nadeo.live/maps/db2bc794-77fb-4581-ad57-7ad116d7d721/thumbnail.jpg,Fall 2021 - 15,38.581,33.64,37.288,3.35,12.81,1.2930000000000064,4.9410000000000025,False
https://core.trackmania.nadeo.live/maps/11675d7d-f78c-40e2-9375-33b638fc0890/thumbnail.jpg,Fall 2021 - 16,41.624,37.026,41.234,0.94,11.05,0.39000000000000057,4.597999999999999,False
https://core.trackmania.nadeo.live/maps/2a442ade-97de-4edd-9569-bc2045e13ba3/thumbnail.jpg,Fall 2021 - 17,37.316,33.588,36.668,1.74,9.99,0.6480000000000032,3.7280000000000015,False
https://core.trackmania.nadeo.live/maps/3a677dc3-62f0-4cf6-81fc-a55d5869798b/thumbnail.jpg,Fall 2021 - 18,42.22,37.723,41.048,2.78,10.65,1.171999999999997,4.497,False
https://core.trackmania.nadeo.live/maps/54a3f5e0-e1df-4c11-8ecc-ed57e32b3c3e/thumbnail.jpg,Fall 2021 - 19,52.575,41.798,50.997,3.0,20.5,1.578000000000003,10.777000000000001,False
https://core.trackmania.nadeo.live/maps/e7f101ce-8453-42c5-b0d7-b1e0d3e5aa55/thumbnail.jpg,Fall 2021 - 20,51.234,46.783,50.711,1.02,8.69,0.5230000000000032,4.4510000000000005,False
https://core.trackmania.nadeo.live/maps/a0bf4b47-b98a-4a14-8e45-86f766d358eb/thumbnail.jpg,Fall 2021 - 21,54.298,49.631,54.078,0.41,8.6,0.21999999999999886,4.667000000000002,False
https://core.trackmania.nadeo.live/maps/89bda289-c267-4241-8c29-e2e7d35db4e5/thumbnail.jpg,Fall 2021 - 22,52.037,48.385,51.606,0.83,7.02,0.4309999999999974,3.652000000000001,False
https://core.trackmania.nadeo.live/maps/ff666b6b-1f93-4212-b5d0-5d126869f0f5/thumbnail.jpg,Fall 2021 - 23,52.551,45.959,52.498,0.1,12.54,0.05300000000000438,6.591999999999999,False
https://core.trackmania.nadeo.live/maps/af0292bb-6ca7-42ce-9af3-7a3546fb7da6/thumbnail.jpg,Fall 2021 - 24,62.641,58.595,62.844,-0.32,6.46,-0.20300000000000296,4.045999999999999,False
https://core.trackmania.nadeo.live/maps/41a47fac-80d1-4632-8f81-32308324ee4a/thumbnail.jpg,Fall 2021 - 25,64.762,60.666,64.744,0.03,6.32,0.018000000000000682,4.096000000000004,False
https://core.trackmania.nadeo.live/maps/6fdc9bfa-6ff9-4916-ae0c-90e083a7bb19/thumbnail.jpg,Summer 2021 - 1,21.024,20.228,20.534,2.33,3.79,0.490000000000002,0.7959999999999994,False
https://core.trackmania.nadeo.live/maps/98e5b935-9825-44e2-99f2-ebe7f5423966/thumbnail.jpg,Summer 2021 - 2,25.371,23.878,24.755,2.43,5.88,0.6159999999999997,1.4929999999999986,False
https://core.trackmania.nadeo.live/maps/59baaabe-7914-493b-9659-437b6ad024bf/thumbnail.jpg,Summer 2021 - 3,22.201,20.611,21.282,4.14,7.16,0.9190000000000005,1.5899999999999999,False
https://core.trackmania.nadeo.live/maps/4350a2ce-4118-4d61-b536-14e1a2de1e15/thumbnail.jpg,Summer 2021 - 4,26.84,24.205,25.584,4.68,9.82,1.2560000000000002,2.6350000000000016,False
https://core.trackmania.nadeo.live/maps/b9d9ad53-a005-44e9-83ed-05aeb009977b/thumbnail.jpg,Summer 2021 - 5,37.614,35.327,36.488,2.99,6.08,1.1259999999999977,2.286999999999999,False
https://core.trackmania.nadeo.live/maps/16fdfbaf-3b47-490b-901f-e90db89aaa84/thumbnail.jpg,Summer 2021 - 6,27.636,25.476,26.815,2.97,7.82,0.820999999999998,2.16,False
https://core.trackmania.nadeo.live/maps/ba0a5af2-eecc-4dd6-bbdd-154315dccbfd/thumbnail.jpg,Summer 2021 - 7,25.578,22.111,24.874,2.75,13.55,0.7040000000000006,3.4669999999999987,False
https://core.trackmania.nadeo.live/maps/02c4c6a0-b389-4a66-9970-f24b741a058d/thumbnail.jpg,Summer 2021 - 8,25.94,23.38,25.254,2.64,9.87,0.6859999999999999,2.5600000000000023,False
https://core.trackmania.nadeo.live/maps/882868f8-a2cf-4767-9608-5416ad1c6cac/thumbnail.jpg,Summer 2021 - 9,25.353,23.538,24.428,3.65,7.16,0.9250000000000007,1.8150000000000013,False
https://core.trackmania.nadeo.live/maps/1d4fb324-5974-477c-b714-216089564b89/thumbnail.jpg,Summer 2021 - 10,38.52,35.385,37.11,3.66,8.14,1.4100000000000037,3.135000000000005,False
https://core.trackmania.nadeo.live/maps/64cf9fce-4f49-41e8-b80b-6d2fe2151b8b/thumbnail.jpg,Summer 2021 - 11,33.427,30.761,33.028,1.19,7.98,0.3990000000000009,2.6660000000000004,False
